"T ABLE XXXIII—METEOROLOGICAL LOG OF S.Y. "" NIMROD,"" VOYAGE II. 1ST DECEMBER, 1908, TO 25TH MARCH, 1909."								
Time		Barometer	Temperature			Wind		"Position, Maximum and Minimum Temperature, Remarks, &c."
	22	29.02	12.7	12.0		ESE	4	
	24	29.07	13.0	12.0		ESE	4	"Max. 25.4° F, Min. 5.0° F. Puffy wind. Summit of Erebus obscured."
25	2	29.10	9.00	8.80		ESE	4	
	4	29.15	11.8	11.0		ESE	4-5	Wind fitful and gusty.
	6	29.21	13.0	11.2		ESE	3	Wind dying away.
	8	29.24	15.7	14.2		ESE	1	
	10	29.26	13.0	12.5		ESE	2	
	12	29.27	13.0	12.2		ESE	2	"At Glacier Tongue. Fitful, puffy wind. Cloudy."
	14	29.34	13.5	13.7		SE	4	
	16	29.33	14.2	14.2		SE	5	
	18	29.36	17.8	17.2		SE	1	
	20	29.34	15.1	15.0		Var.	0-1	Fine; clear.
	22	29.35	13.0	13.0		Calm		
	24	29.36	14.0	14.0		Calm		"Max. 18.0° F, Min. 9.0° F. Fine; clear."
26	2	29.36	14.5	14.5		E	2	
	4	29.38	12.8	12.0		E	3	Wind increasing in force; Erebus obscured.
	6	29.36	10.5	9.50		ESE	4-5	
	8	29.37	8.8	8.0		ESE	5	Fine drift; Bluff obscured.
	10	29.38	7.2	6.5		ESE	6	
	12	29.39	7.0	6.8		ESE	7	At Glacier Tongue. Erebus obscured.
	14	29.37	8.2	7.9		ESE	6	
	16	29.37	8.7	8.2		SE x E	6	
	18	29.35	8.2	8.0		SE x E	6	Overcast; fine drift.
	20	29.31	9.8	8.5		SE x E	6	
	22	29.29	8.0	7.5		ESE	6	
	24	29.27	9.0	8.1		ESE	6	"Max. 14.5° F, Min. 7.0° F. No change in weather."
27	2	29.30	7.0	6.8		ESE	6-7	
	4	29.27	7.0	6.2		ESE	6	Fine drift.
	6	29.25	8.0	6.8		ESE	4-5	Weather moderating; sky clearing.
	8	29.24	8.7	7.8		ESE	4	
	10	29.20	10.1	9.0		ESE	5	
	12	29.17	9.0	8.5		ESE	6	At Glacier Tongue. Fine; clear.
	14	29.17	6.5	6.0		ESE	7-8	
	16	29.14	5.8	5.0		ESE	6-7	
	18	29.12	5.5	5.0		ESE	8	
	20	29.10	6.2	5.8		E	8	Fine; clear.
	22	29.08	4.0	3.5		E	8	
	24	29.07	4.0	3.2		E	7	"Max. 13.0° F, Min. 3.9° F. Erebus obscured."
28	2	29.09	2.0	1.5		E	7	Puffy wind. Fine drift.
	4	29.11	1.5	0.5		E	7	
	6	29.14	2.8	1.5		E	6	
	8	29.15	4.0	3.5		ESE	7-8	Erebus obscured.
	10	29.18	4.0	3.0		ESE	8	
	12	29.20	4.0	3.0		ESE	8	At Glacier Tongue. Weather unchanged.
	14	29.22	3.0	2.5		ESE	7	
	16	29.24	3.5	3.0		ESE	7	
	18	29.25	1.2	0.5		ESE	6	"Cloudy; "" frost smoke "" rising from sea."
	20	29.28	0.0	-0.5		ESE	5	
	24	29.33	-1.5	-2.0		ESE	5-7	"Max. 6.0° F, Min. (approx.) - 1.5° F. Thick ; heavy drift landmarks obscured."
"March, 1909."								
1	2	29.34	-0.5	-1.0		ESE	8	
	4	29.37	1.0	0.5		ESE	6	Cloudy but finer; Erebus visible.
	6	29.40	1.8	1.2		ESE	5	
	8	29.44	3.7	3.0		ESE	4	
	12							At Barrier edge S. of Cape Armitage. 09.20; left for Hut Point to pick up Southern Party. Returned in evening to Cape Royds.
2	4					SE	3	
	8					SE	5	06.35-10.00; proceeded to Glacier Tongue.
	12					SE	6-7	At Glacier Tongue.
	16					ESE	4	
	20					ESE	6-7	"19.30; left for Cape Royds, but finding heavy wind returned to Glacier Tongue."
	24					ESE	6-7	
3	4		10.0	9.0		ESE	3	Overcast; dull.
	8					SE	6	08.45-10.00; proceeded to Cape Royds.
	12					SE	7	Off Cape Royds. Heavy sea.
	16	29.32	7.5	7.2		ESE	5	At Glacier Tongue.
	20		9.5	9.0		ESE	6-7	Overcast; dull. 22.00-24.00; proceeded to Hut Point.
	24					ESE	7	
4	4	29.24	6.0	5.9		ESE	6-7	"01.20; proceeded towards Cape Armitage. 01.30; stopped by young ice, returned to Glacier Tongue."
	8					Calm		
	12	29.22	6.2	6.0		ESE	6	08.00; proceeded to Hut Point and thence to Barrier edge.
	16	29.39	20.5	20.0		N	3	"14.00 (off Cape Royds), wind SE 8."
	20		17.0	16.8		SE	6	Dull; overcast. Left for Monazite Island. 20.00; passing through lanes of pack; new ice between ship and land.
	24	29.33	15.5	15.0		SE	5	"Max. 20.5° F, Min. 0.8° F. Commenced return voyage."
5	4	29.23	15.1	14.9		S	3	Steaming through closely packed pancake ice.
	8	29.24	16.9	16.5		S	2	"Steaming through new ice 4"" to 6"" thick."
	12	29.25	18.8	18.2		NE	1	"75° 51' S, 165° 17' E. Snowing. NE swell. Working through compact, new formed ice."
	16	29.26	15.5	15.0		W	4	
	20		18.8	18.2		SW	4	17.30; entered clear water.
	24	29.24	20.5	20.0		SSE	5	"Max. 21.0° F, Min. 15.0° F. Overcast. SE sea."
6	4	29.26	21.0	21.0		SSE	4	Cloudy; dull. No ice seen.
	8	29.26	21.8	21.5		E	1	
	12	29.28	22.5	22.0		E	1	"73° 30' S, 170° 15' E. (approx.). Overcast."
	16	29.30	24.2	23.0		Var.	1	
	20	29.29	25.2	25.0		SW	1	Overcast; dull. Passed overturned berg.
	24	29.32	24.0	23.8		WSW	3	"Max. 26.0° F, Min. 20.2° F. Overcast; passing snow squalls."
7	4	29.31	24.5	24.0		WSW	4	Occasional snow squalls.
	8	29.30	23.0	22.8		SW	3	
	12	29.29	23.8	23.2		SW	4	"71° 09' S, 169° 28' E. Overcast."
	16	29.27	25.0	24.0		W	4	14.00; lines of pack extending NW and SE. Steaming along edge of pack.
	20	29.28	24.8	24.2		SE	2	17.00; cleared pack. 20.00; pack to N.
	24	29.31	25.0	24.5		SE	2	"Max. 25.2° F., Min. 22'2° F. Fine."
8	4	29.34	21.5	21.0		Calm		
	8	29.32	21.2	21.0		Calm		04.30; brought up by heavy pack extending N from Cape Hooker.
	12	29.33	20.1	20.0		Calm		"69° 45' S, 167° 00' E. (approx.)."
	16	29.28	20.0	19.0		Var.	1	"Clear, blue sky. Steaming through pancake ice."
	20	29.20	23.0	22.0		NE	1	18.00; heavy pancake ice. 23.25; entered field of old ice.
	24	29.18	28.0	27.2		NE	3	"Max. 28.0° F, Min. 19.0° F. Overcast; fine."
9	4	29.13	27.0	27.0		E	5	Patches of newly formed ice.
	8	29.12	27.2	27.0		SE x E	4-5	"New pack, interspersed with old water worn pack."
	12	29.02	29.9	29.4		E x S	6	"67° 50' S, 168° 50' E. In new ice."
	16	28.81	30.0	30.0		E x S	7	Rough sea. Overcast. Open water with occasional lumps of ice.
	20	28.65				E x S	6	18.20; heavy snow; 19.30; clearing.
	24	28.61	33.0	32.8		NNE	6	"Max. 34.0° F, Min. 25.0° F. Overcast."
10	4	28.50	32.0	32.0		NNE	7	Confused swell. Frequent squalls of snow and rain.
	8	28.65	33.0	32.0		NW	7-8	"High, confused sea."
	12					NW	7-8	"66° 00' S, 170° 00' E. (very approx.)."
	16		32.0	32.0		NW	8	Overcast. Heavy sea. Barometer out of order.
	20					NW	8	
	24		33.5	33.2		NW	6	"Max. 34.8° F, Min. 31.0° F. Cloudy; dull. Passing bergs. 22.15-22.40; Aurora in NW horizon. Streamers trending NW to SE."
11	4		35.0	34.5		NW	5	Heavy NW sea. Brilliant auroral display.
	8		36.0	35.8		NNW	5	Passing bergs.
	12	29.27	36.0			NNW	6	"64° 12' S, 171° 00' E. Clear sky. N sea."
	16	29.11	36.0			N x E	6	Continuous rain.
	20	29.31	34.5			NW	5	Auroral display to W.
	24	29.04	36.0			NW	5	"Max. 37.0° F, Min. 33.0° F. Overcast. Intervals of clear sky. Barometer A.253, which had been broken, was replaced on this day by A.268, which had been used by the Land Party at Cape Royds."
12	4	29.09	35.2			W x N	6	Squally. Heavy NW sea. Passing small pieces of ice.
	8	29.25	35.5			NW	5	06.00; passed large berg.
	12	29.38	36.0			NW	5	"62° 36' S, 171° 39' E. Overcast."
	16	29.30	39.0			NNW	7	Cloudy; dull. Heavy NNW sea.
	20	29.31	39.0			WNW	7	
	24	29.39	37.8			WNW	7	"Max. 40.0° F, Min. 34.0° F. Overcast. Heavy sea."
13	4	29.39	40.0			NW x W	7	Overcast; dull. Heavy sea.
	8	29.42	41.0			NW	6	Thick; raining. Passed a very large berg.
	12	29.40	42.0			NNW	6	"62° 17' S, 171° 55' E. Thick; raining. High NW sea."
	16	29.39	43.0			NW x W	7	"Overcast. Heavy sea. Max. 43.0° F, Min. 37.0° F."
14	4	29.32	42.2			NW	6	Occasional light rain. High sea.
	8	29.30				NW	4	Hazy. Sea moderating.
	12	29.27	41.5			N x W	5	"61° 37' S, 172° 44' E. Overcast; fine rain."
	16	29.21	42.5			NW x W	4	Occasional rain.
	20	29.18	40.4			NW x W	2-3	Sky clearing to W. High NW sea.
	24	29.17	40.0			WNW	4	"Max. 43.0° F, Min. 40.0° F. Overcast; hazy. NW sea."
15	4	28.92	41.0	41.0		NW x W	4	Unsettled; frequent rain. Rough sea.
	8	28.88	39.8			N	7	10.00; wind veered rapidly to WSW and increased to gale.
	12	29.07	40.0			WSW	10	"61° 03' S, 172° 34' E. Heavy squalls. High sea."
	16	29.28	40.0			W	7	Weather moderating.
	20	29.36	38.2			W	3	High sea. 22.00; auroral display to S.
	24	29.46	40.0			WNW	4	"Max. 42.0° F., Min. 37.5° F. Overcast. Rough sea."
16	4	29.51	41.1			W	6	Squally. High W sea.
	8	29.63	43.0	43.0		WNW	7	
	12	29.74	43.8	43.2		W	6	"59° 33' S, 172° 06' E. Passing squalls of mist and rain."
	16	29.87	43.0	43.0		W	6	Squally; overcast. High sea.
	20	29.95	43.8	43.0		W x N	5	
	24	30.05	43.8	43.5		W x N	5	"Max. 45.0° F, Min. 39.5° F. Overcast. Sea moderating."
17	4	30.07	45.0	44.5		W x N	5	Squally. Mod. W sea.
	8	30.12	45.1	45.0		WNW	4	
	12	30.09	45.5	45.2		NW	5	"56° 35' S, 174° 02' E. Cloudy; passing rain squalls."
	16	30.09	46.4	46.2		W x N	5	Misty. W sea.
	20	30.13	46.0	45.8		SW	2	
	24	30.20	48.0	45.2		SW	3	"Max. 47.0° F, Min. 42.5° F. Cloudy."
18	4	30.21	45.2	45.2		WSW	3	Fine. Occasional showers.
	8	30.29	46.0	45.7		W	1	
	12	30.28	47.2	46.2		Calm		"53° 56' S, 173° 31' E. Cloudy. S sea."
	16	30.34	49.9	49.0		NW	1	Fine; clear.
	20	30.33	47.9	47.0		N	2	
	24	30.33	47.8	46.8		N	4	"Max. 50.0° F, Min. 44.5° F. Overcast; fine."
19	4	30.25	48.2	47.5		NW	3	Overcast. Confused sea.
	8	30.18	48.2	47.8		NE x N	5	
	12	30.06	49.0	48.5		NE x N	5	"52° 39' S, 169° 55' E. Overcast. Mod. W sea."
	16	29.90	50.0	50.0		NE x N	5	Light drizzling rain.
	20	29.84	51.4	51.2		NNE	5	Thick; raining.
	24	29.78	52.0	51.9		NNE	4	"Max. 52.2° F, Min 46.5° F. Overcast; continuous rain."
20	4	29.67	51.6	51.6		NNE	1-2	Continuous light rain. Confused sea.
	8	29.65	52.0	52.0		NNE	2	Fine rain.
	12	29.64	51.5	51.5		NE	2	"50° 48' S, 167° 38' E. Overcast; hazy; fine rain. NE swell."
	16	29.56	52.0	52.0		NNE	1	Patches of fog at intervals.
	20	29.54	52.2	52.2		Calm		Foggy.
	24	29.52	52.5	52.2		NNW	3	"Max. 54.8° F, Min. 50.9° F. Overcast; clearing at intervals. NE swell."
21	4	29.51	55.1	54.2		WNW	2	NE swell. Calm at 02.00 hrs.
	8	29.61	55.4	55.0		NW	5	N sea.
	12	29.65	57.0	56.4		NW		"48° 49' S, 167° 32' E. Cloudy. High NW swell."
	16	29.71	57.2	56.1		N	2	
	20	29.76	56.0	55.4		N	1	Heavy rain.
	24	29.81	55.0	54.9		N	1	"Max. 58.7° F, Min. 52.5° F. Overcast."
22	4	29.85	56.0	55.5		NW	1	"Showery. 09.29; anchored at mouth of Lords River, Stewart Island."
	16	30.10	57.5	55.0		SSE	2	
	20	30.10						
	24	30.20	52.0	49.0		Calm		"Max. 60.0° F, Min. 49.9° F. Fine; clear."
23	4	30.07				NW	1	"04.45-09.29; proceeded to Half Moon Bay, Stewart Island."
	12	30.07				N	1-2	"46° 53' S, 168° 24' E. 10.50; left for Lyttelton."
	24	30.11				ENE	1	Cloudy.
24	4	30.20				NE	1	
	12	30.20				NE	2	"45° 20' S, 171° 44' E. Cloudy. Smooth sea."
	16	30.09				NE	4	Cloudy.
	24	30.12				NNE	3	Fine; clear blue sky. N swell.
25	4	30.01				NE	4	Clear blue sky. Rough N sea. 17.30 hrs; arrived at Lyttelton wharf.
